id,text,canonized,text_length,description,random,regex,sanskrit,translation,notes
71.1,,,7,sa-aa-an-namaa-ama-va-ra,⚄ random: da-pa-i-g-ba-na-ra,ra?va?ama?namaa?anaa?sa?,"रव आमन-मानस
rava āmana-mānasa",Rudra[√रु]; the benevolent spirit[MBh],
72.1,,,8,sa-aa-r-sa-as-an-an-as,⚄ random: da-pa-ba-da-sa-i-d-ya,asananassa?raa?sa?,"आहनन आशस्-र आस
āhanana āśas-ra āsa",Killer[AV]; wish[RV] grantor[Śiś]; Presider[√आस्],
73.1,,,5,sa-aa-an-da-annaa,⚄ random: da-pa-i-u-c,annaa?da?anaa?sa?,"अन्न-दान आस
anna-dāna āsa",food charity[RV] Presider[√आस्],
74.1,,,7,sa-aa-an-namaa-ama-va-ra,⚄ random: da-pa-i-g-ba-na-ra,ra?va?ama?namaa?anaa?sa?,"रव आमन-मानस
rava āmana-mānasa",Rudra[√रु]; the benevolent spirit[MBh],
75.1,,,4,sa-nmna-sa-ra,⚄ random: da-i-d-ba,ra?sa?nmna?sa?,"रसन-मनस्
rasana-manas",Roaring[VarBṛS] Spirit[RV],
76.1,,,3,daa-va-ra,⚄ random: u-n-ra,ra?va?daa?,"रव-द
rava-da",roar[RV] giver[Pañcat],
77.1,,,4,ya-an-aa-m,⚄ random: ma-i-j-sa,maa?anya?,"मान्य
mānya",Honored[MBh],
78.1,,,8,.a-.-.-.-ra-va-ja-ja,⚄ random: ta-ta-ta-ta-ra-na-da-pa,ja?ja?va?ra?....a?,*jajavara....a,,
79.1,,,3,aa-n-tara,⚄ random: ca-ma-i,tara?naa?,"तृणे
tṛṇe",in the plant[RV],
80.1,,,2,ma-va,⚄ random: sa-ta,va?ma?,"वम
vama",The emitter[√वम्],
81.1,,,5,an-ta-ma-va-ra,⚄ random: i-v-sa-na-ba,ra?va?ma?ta?an,"रव मतं
rava mataṃ",Roarer[√रु] honored[Ragh],
82.1,,,7,an-sa-da-va-la-as-.,⚄ random: i-d-ma-na-ca-sa-ta,.asla?va?da?sa?an,*.aslavadasaan,,
83.1,,,5,sa-ma-ta-ma-da,⚄ random: la-i-s-ya-la,da?ma?ta?ma?sa?,*damatamasa,,
84.1,,,4,.a-.-va-ra,⚄ random: ta-ta-na-ra,ra?va?..a?,*rava..a,,
85.1,,,2,ya-ja,⚄ random: na-ta,ja?ya?,"जय
jaya",victory[AV],
86.1,,,3,ra-an-ja,⚄ random: na-i-t,ja?anra?,*jaanra,,
87.1,,,5,na-ma-sa-va-ra,⚄ random: na-ga-pa-na-ba,ra?va?sa?ma?na?,"रव शं नः
rava śaṃ naḥ",Roarer[√रु] bless us[RV],
88.1,,,4,ya-ka-sa-aa,⚄ random: ma-ma-da-pa,aa?sa?ka?ya?,"अशक्य
aśakya",impossible[MBh],
89.1,,,9,aa-d-ta-an-aaa-va-na-as-ca,⚄ random: pa-ma-u-i-u-n-u-r-u,ca?asna?va?aaa?anta?daa?,"चष नवान्न तदा
caṣa navānna tadā",then[RV] eat[√चष लोट्] the new grain[AitBr],
90.1,,,3,an-ra-va,⚄ random: i-l-ba,va?ra?an,"वरान्
varān",blessings[RV],
91.1,,,5,an-sa-va-da-sa,⚄ random: i-a-n-la-sa,sa?da?va?sa?an,"सद्-अवहन
sad-avahana",True[RV] Killer[RV],
92.1,,,5,na-ama-sa-va-ra,⚄ random: na-ba-pa-na-ba,ra?va?sa?ama?na?,"रव सामन
rava sāmana",Destroying[Pañcat] Roarer[√रु],
93.1,,,6,an-ta-da-va-la-an,⚄ random: i-u-g-na-ra-da,anla?va?da?ta?an,"अनलवत्-दत्तं
analavat-dattaṃ",granted[RV] in the presence of fire[AgP:अनल + मतुप्] ,
94.1,,,9,ra-ta-ta-aa-an-amaa-va-aa-a,⚄ random: ba-ja-ja-ta-i-j-na-pa-va,aaa?va?amaa?anaa?ta?ta?ra?,"आव आमान तत्र
āva āmāna tatra",go[√अव् + लोट् 2p.] there[RV] to[RV] honor[RV],
95.1,,,7,na-ja-an-ma-as-va-.,⚄ random: na-ja-ma-sa-ya-na-ta,.va?asma?anja?na?,*.vaasmaanjana,,
96.1,,,6,an-sa-ma-an-da-ma,⚄ random: i-p-ga-da-u-d,ma?da?anma?sa?an,"मदन-मषन्
madana-maṣan",Destroying[मष् शतृॅं] Kāma[MBh],
97.1,,,6,ya-ma-sa-ja-an-ma,⚄ random: ma-ga-pa-ja-ma-sa,ma?anja?sa?ma?ya?,"मञ्ज-शम्य
mañja-śamya",O Roarer[√मञ्ज्] to be appeased[MW],
98.1,,,6,an-ma-ma-sa-va-ra,⚄ random: i-n-i-d-na-ba,ra?va?sa?ma?ma?an,"रव शम् मान
rava śam māna","bless[RV] (us), O honored[√मन्] Roarer[√रु]",
99.1,,,8,va-na-ta-nmna-ma-aa-m-da,⚄ random: ba-ya-u-n-sa-ca-ya-la,da?maa?ma?nmna?ta?na?va?,"दम-अम नमन् तन्व
dama-ama naman tanva","O Mighty[RV] Subduer[TS], saluting (you), Tanva(author RV 10.93)",
100.1,,,7,ya-ra-va-aa-an-ma-da,⚄ random: na-la-ba-pa-i-y-la,da?ma?anaa?va?ra?ya?,"दमन अवर्य
damana avarya","O subduer[MBh], O unthwartable[RV 8.92.8 Indra]",
101.1,,,5,.a-ma-sa-ma-cara,⚄ random: ta-i-d-ya-da,cara?ma?sa?ma?.a?,"चर्मसमम्
carmasamam",shield[MBh] like[RV],
102.1,,,2,.a-ama,⚄ random: ta-ba,ama?.a?,*ama.a,,
103.1,,,4,an-i-d-aa,⚄ random: i-b-la-pa,aa?dian,"अधीन
adhīna",belonging to[R] ,
104.1,,,5,ya-ja-an-ma-da,⚄ random: sa-pa-da-ya-la,da?ma?anja?ya?,*damaanjaya,,
105.1,,,2,an-aa,⚄ random: i-j,aa?an,"आन
āna",that one breathed[RV 10.129.2],
106.1,,,4,.a-aa-v-ra,⚄ random: ta-pa-na-ba,ra?vaa?.a?,*ravaa.a,,
107.1,,,5,ya-ra-aa-r-aa,⚄ random: ma-na-pa-na-ra,aa?raa?ra?ya?,*aaraaraya,,
108.1,,,2,ya-ma,⚄ random: ya-pa,ma?ya?,"मय
maya",horse[VS]/Injurer[√मी],
109.1,,,6,pa-ra-sa-na-ra-ra,⚄ random: ka-la-da-ma-la-na,ra?ra?na?sa?ra?pa?,"ररण सर-प
raraṇa sara-pa",The ruler of water[VS] roars[√रण् लिट् used as present tense; Sri Rudram 7],
110.1,,,8,daada-ra-la-ca-daa-ta-ja-va,⚄ random: ka-ba-ta-ma-ca-ra-pa-ta,va?ja?ta?daa?ca?la?ra?daada?,"वज तड अचल राद्ध-द
vaja taḍa acala rāddha-da","O wanderer[वज्] O Striker[तड्], O Immovable one[VP], O success[Br] giver[Pāṇ]",
111.1,,,10,ra-daa-an-va-nmna-sa-va-aa-s-ra,⚄ random: la-ca-aa-n-i-d-na-ca-va-ba,ra?saa?va?sa?nmna?va?andaa?ra?,"रसतस नमन् संधार
rasatasa naman saṃdhāra",O Roaring destroyer; salutations; O possessor of all things,RV 4.8.1 Your envoy who possesses all
112.1,,,10,sa-aa-an-ba-sa-.-.-da-ta-sa,⚄ random: da-pa-i-j-da-ta-ta-ma-ma-da,sa?ta?da?..sa?ba?anaa?sa?,*satada..sabaanaasa,,
113.1,,,3,saras-ta-pa,⚄ random: sa-u-t,pa?ta?saras,*patasaras,,
114.1,,,4,ataa-i-r-ta,⚄ random: sa-ba-la-ma,ta?riataa?,*tariataa,,
115.1,,,5,ma-.-an-an-ma,⚄ random: i-t-i-d-va,ma?anan.ma?,*maanan.ma,,
116.1,,,9,sa-aa-r-da-.-.-sa-sa-ma,⚄ random: da-pa-la-ya-ta-ta-da-pa-i,ma?sa?sa?..da?raa?sa?,*masasa..daraasa,,
117.1,,,3,aa-an-va,⚄ random: pa-ma-sa,va?anaa?,*vaanaa,,
118.1,,,3,na-sa-ma,⚄ random: na-ta-va,ma?sa?na?,*masana,,
119.1,,,4,ma-ta-an-.,⚄ random: i-n-aa-t,.anta?ma?,*.antama,,
120.1,,,3,ya-da-da,⚄ random: ma-i-i,da?da?ya?,"दध्य
dadhya",meditate[√ध्ययै],
121.1,,,8,ra-aa-y-pa-ra-ra-ma-sa,⚄ random: la-ma-ma-la-aa-g-i-a,sa?ma?ra?ra?pa?yaa?ra?,"समर-र पय-अर
samara-ra paya-ara","O giver[Śiś] of confluence[RV], O flowing[RV] water[RV]",
121.2,,,8,an-.-ta-ma-ama-aa-a-g,⚄ random: i-t-ma-sa-ba-pa-i-i,gaaa?ama?ma?ta?.an,*gaaaamamata.an,,
122.1,,,1,an,⚄ random: i,an,"आन
āna",that one breathed[RV 10.129.2],
123.1,,,7,an-da-ma-ma-ma-ta-ra,⚄ random: i-l-aa-g-sa-ma-ba,ra?ta?ma?ma?ma?da?an,"रत मम मदन
rata mama madana",O my pleased[BhP] Kāma[Mbh],
124.1,,,4,va-ra-ra-pa,⚄ random: ba-sa-na-ka,pa?ra?ra?va?,*pararava,,
125.1,,,5,ri-sa-va-da-an,⚄ random: va-da-na-ta-i,anda?va?sa?ri,*andavasari,,
126.1,,,7,an-ra-.-an-ta-an-asaas,⚄ random: i-j-ta-ga-ma-ga-da,asaasanta?an.ra?an,*asaasantaan.raan,,
127.1,,,3,ya-da-sa,⚄ random: ma-ta-da,sa?da?ya?,*sadaya,,
128.1,,,2,ya-na,⚄ random: ya-va,na?ya?,"नय
naya",prudence[MBh],
129.1,,,2,aaa-ta,⚄ random: i-t,ta?aaa?,"अथ
atha",thus[RV],
130.1,,,9,sa-ba-an-ra-ma-ta-sa-va-ra,⚄ random: la-va-i-l-i-c-pa-na-ra,ra?va?sa?ta?ma?ra?anba?sa?,"रव शत-मरम् भस
rava śata-maram bhasa",Roarer[रु] destroyer[भस्] of hundred[RV] deaths[AitUp],RV 10.18.4 May they survive a hundred lengthened autumns and may they bury Death
131.1,,,3,na-da-aa,⚄ random: na-ta-ra,aa?da?na?,*aadana,,
132.1,,,4,an-ta-va-ra,⚄ random: i-c-na-ra,ra?va?ta?an,*ravataan,,
133.1,,,2,na-da,⚄ random: na-ta,da?na?,"धन
dhana",wealth/booty[RV],
134.1,,,4,ya-va-da-an,⚄ random: ka-ta-ga-ma,anda?va?ya?,*andavaya,,
135.1,,,4,va-ra-ra-sa,⚄ random: ba-sa-na-da,sa?ra?ra?va?,"हर रव
hara rava","O Seizer[MBh], O Roarer[√रु]",
136.1,,,4,ra-sa-va-ra,⚄ random: la-aa-n-ra,ra?va?sa?ra?,*ravasara,,
137.1,,,2,nna-aa,⚄ random: ka-ta,aa?nna?,"आनन
ānana",face[R],
138.1,,,4,na-ja-an-ma,⚄ random: na-ja-aa-g,ma?anja?na?,"मञ्जन्
mañjan",Roaring[√मञ्ज्],
139.1,,,4,an-aa-r-va,⚄ random: i-j-sa-ba,va?raa?an,*varaaan,,
140.1,,,2,na-ja,⚄ random: na-ja,ja?na?,*jana,,
141.1,,,3,aa-an-.,⚄ random: ta-i-t,.anaa?,*.anaa,,
142.1,,,2,an-.,⚄ random: i-t,.an,*.an,,
143.1,,,6,.a-i-c-aa-v-ra,⚄ random: ta-ba-ma-pa-na-ba,ra?vaa?ci.a?,*ravaaci.a,,
144.1,,,9,as-rara-aa-k-ra-ra-va-ka-ra,⚄ random: ya-ya-pa-na-ba-ra-ta-va-ra,ra?ka?va?ra?ra?kaa?rara?as,"रकवरारक-अररस्
rakavarāraka-araras",gem of chosen gems entrance[Mcar],Dholavira signboard
145.1,,,5,ya-ba-aa-v-ra,⚄ random: ma-ba-pa-na-ra,ra?vaa?ba?ya?,*ravaabaya,,
146.1,,,3,.a-va-ra,⚄ random: ta-na-ba,ra?va?.a?,*rava.a,,
147.1,,,4,sa-ra-.-aa,⚄ random: sa-ba-ta-ta,aa?.ra?sa?,*aa.rasa,,
148.1,,,4,aa-a-c-da,⚄ random: ta-ca-ma-i,da?caaa?,*dacaaa,,
149.1,,,2,ma-ma,⚄ random: sa-i,ma?ma?,"मम
mama",my[RV],
150.1,,,3,an-ra-pa,⚄ random: i-j-ga,pa?ra?an,"पर्ण
parṇa",Wing[RV] (male Name),
151.1,,,2,ma-sa,⚄ random: i-d,sa?ma?,"शं
śaṃ",bless[RV],
152.1,,,2,na-da,⚄ random: ya-u,da?na?,*dana,,
153.1,,,2,ra-ka,⚄ random: la-ca,ka?ra?,"कर
kara",creator[AV],
153.2,,,2,ra-ka,⚄ random: la-ca,ka?ra?,"कर
kara",creator[AV],
154.1,,,2,ra-ra,⚄ random: la-la,ra?ra?,*rara,,
155.1,,,1,an,⚄ random: i,an,"आन
āna",that one breathed[RV 10.129.2],
156.1,,,3,i-an-aa,⚄ random: ba-i-i,aa?ani,*aaani,,
157.1,,,3,an-aa-s,⚄ random: i-a-k,saa?an,*saaan,,
158.1,,,4,naaman-ta-dada-ra,⚄ random: va-u-s-ra,ra?dada?ta?naaman,*radadatanaaman,,
159.1,,,1,da,⚄ random: ma,da?,"द
da",giving[MS],
160.1,,,2,nna-taaa,⚄ random: ka-ga,taaa?nna?,"तानन्
tānan",Killing[√तन् + शतृँ],
161.1,,,2,.a-na,⚄ random: ta-ya,na?.a?,*na.a,,
162.1,,,3,ja-.-.,⚄ random: ja-ta-ta,..ja?,*..ja,,
162.2,,,2,ja-ma,⚄ random: ja-va,ma?ja?,"मज
maja",Roarer[√मज्],
163.1,,,2,.a-sa,⚄ random: ta-da,sa?.a?,*sa.a,,
163.2,,,2,an-.,⚄ random: i-t,.an,*.an,,
164.1,,,4,na-aa-a-.,⚄ random: na-ca-ta-ta,.aaa?na?,*.aaana,,
165.1,,,3,aa-d-.,⚄ random: pa-na-ta,.daa?,*.daa,,
166.1,,,3,.a-ma-.,⚄ random: ta-i-t,.ma?.a?,*.ma.a,,
167.1,,,3,.a-sa-.,⚄ random: ta-pa-ta,.sa?.a?,*.sa.a,,
168.1,,,2,an-.,⚄ random: aa-t,.an,*.an,,
169.1,,,2,an-.,⚄ random: i-t,.an,*.an,,
170.1,,,3,ma-an-ca,⚄ random: ba-i-v,ca?anma?,*caanma,,
171.1,,,2,pa-an,⚄ random: ma-ma,anpa?,*anpa,,
172.1,,,2,ca-.,⚄ random: u-t,.ca?,*.ca,,
173.1,,,2,ma-sa,⚄ random: i-a,sa?ma?,"शं
śaṃ",bless[RV],
174.1,,,3,va-ma-ja,⚄ random: ba-i-p,ja?ma?va?,*jamava,,
175.1,,,2,ma-sa,⚄ random: i-d,sa?ma?,*sama,,
176.1,,,2,ama-ja,⚄ random: ba-ja,ja?ama?,"जामा
jāmā",daughter[MBh],
177.1,,,4,.a-ja-ja-ja,⚄ random: ta-ta-ja-ja,ja?ja?ja?.a?,*jajaja.a,,
178.1,,,3,.a-.-ja,⚄ random: ta-ta-ja,ja?..a?,*ja..a,,
179.1,,,1,aa,⚄ random: ta,aa?,"अ
a",(voc.)[T],
180.1,,,7,an-aa-.-ra-.-.-.,⚄ random: i-i-t-sa-ta-ta-ta,...ra?.aa?an,*...ra.aaan,,
181.1,,,2,an-aa,⚄ random: i-t,aa?an,"आन
āna",that one breathed[RV 10.129.2],
182.1,,,1,ya,⚄ random: ya,ya?,"य
ya",him[यद्],
183.1,,,3,ta-.-ya,⚄ random: sa-ta-ma,ya?.ta?,*ya.ta,,
184.1,,,2,.a-sa,⚄ random: ta-la,sa?.a?,*sa.a,,
184.2,,,2,.a-an,⚄ random: ta-ja,an.a?,*an.a,,
185.1,,,3,sa-va-ma,⚄ random: ya-ta-i,ma?va?sa?,*mavasa,,
186.1,,,3,.a-.-ma,⚄ random: ta-ta-i,ma?..a?,*ma..a,,
187.1,,,1,na,⚄ random: ya,na?,"न
na",praised[TS] ,
187.2,,,1,ma,⚄ random: i,ma?,"मा
mā",to me[माम्],
188.1,,,3,.a-as-ma,⚄ random: ta-na-na,ma?as.a?,*maas.a,,
189.1,,,4,an-ka-ta-ma,⚄ random: i-m-aa-s,ma?ta?ka?an,*matakaan,,
190.1,,,1,ma,⚄ random: sa,ma?,"मा
mā",to me[माम्],
191.1,,,1,i,⚄ random: ba,i,"इ
i",(interj)[Pāṇ],
192.1,,,5,.a-.-.-.-ra,⚄ random: ta-ta-ta-ta-ja,ra?....a?,*ra....a,,
193.1,,,2,ananan-va,⚄ random: pa-ba,va?ananan,"वननं
vananaṃ",desire[Nir],
194.1,,,2,ananan-u,⚄ random: pa-ja,uananan,"उ अननं
u ananaṃ",the face[R],
195.1,,,2,ananan-an,⚄ random: pa-da,anananan,"दान-अनम्
dāna-anam",the gift[RV] of breath[ŚBr],
196.1,,,1,as,⚄ random: da,as,"अस्
as",shine![√अस्],
197.1,,,2,i-naaman,⚄ random: ba-va,naamani,*naamani,,
198.1,,,5,an-aa-m-ma-ka,⚄ random: i-k-sa-ya-va,ka?ma?maa?an,"चण
caṇa",Injurer[√चण्],
198.2,,,2,an-ca,⚄ random: ja-u,ca?an,"चण
caṇa",Injurer[√चण्],
199.1,,,6,na-ma-ma-as-ma-ka,⚄ random: na-i-s-ya-ya-va,ka?ma?asma?ma?na?,"कम्सम् मन
kamsam mana",Honor[मन् लोट्] the (Soma) cup,
200.1,,,4,aa-c-ma-ka,⚄ random: pa-u-y-va,ka?ma?caa?,*kamacaa,,
201.1,,,1,ka,⚄ random: va,ka?,"क
ka",joy[Nir],
202.1,,,3,an-ma-sa,⚄ random: i-k-ga,sa?ma?an,"शं नः
śaṃ naḥ",Bless us[RV],
203.1,,,3,.a-.-.,⚄ random: ta-ta-ta,...a?,*...a,,
204.1,,,3,i-an-.,⚄ random: ba-i-t,.ani,*.ani,,
205.1,,,3,an-ja-sa,⚄ random: i-t-ma,sa?ja?an,*sajaan,,
206.1,,,3,.a-ma-da,⚄ random: ta-i-m,da?ma?.a?,*dama.a,,
207.1,,,2,an-.,⚄ random: i-t,.an,*.an,,
207.2,,,1,an,⚄ random: ja,an,"आन
āna",that one breathed[RV 10.129.2],
208.1,,,3,an-.-da,⚄ random: i-t-ta,da?.an,*da.an,,
209.1,,,2,an-.,⚄ random: i-t,.an,*.an,,
210.1,,,2,ma-as,⚄ random: ba-na,asma?,*asma,,
210.2,,,1,an,⚄ random: ja,an,"आन
āna",that one breathed[RV 10.129.2],
211.1,,,1,an,⚄ random: ja,an,"आन
āna",that one breathed[RV 10.129.2],
211.2,,,1,.a,⚄ random: ta,.a?,*.a,,
212.1,,,2,an-ja,⚄ random: ja-ja,ja?an,"जन
jana",Generator[RV],
212.2,,,4,.a-.-.-.,⚄ random: ta-ta-ta-ta,....a?,*....a,,
213.1,,,3,ca-.-ja,⚄ random: u-t-ja,ja?.ca?,*ja.ca,,
214.1,,,2,.a-ja,⚄ random: ta-ja,ja?.a?,*ja.a,,
